beta,phi,theta,gamma,delta,gammaT,deltaT,eta,b,kappa,R0
0.4312215265119448,1.841502981952042,0.4100958969555796,0.7034340877534511,0.6996659029585619,1.4422211749013512,0.6150128892213106,1.4265646388456226,1.2597077380039727,0.0022688652243620408,1.3329769265840512
0.41694879497285,1.4303460563013795,0.24677728817953418,0.7186459952197037,0.7267607838666688,1.5099246667395345,0.605201378306374,1.4011019264707962,1.1355935034041291,0.0023243790227066106,1.1191163200423184
0.37533708270406346,1.714006658388418,0.4336085120647525,0.6769755483924721,0.6918018678159763,1.4847915411437862,0.5964485673587769,1.3975965749118475,1.3582591787131504,0.002745583800808527,1.169747302700386
0.4889682232437189,1.81657537452667,0.4678314814002563,0.700655263505876,0.7023141067021836,1.5350093080895022,0.5324445975758135,1.335904822108646,1.5412340922726318,0.0026808255693487205,1.1366971089373639
0.398996285010362,1.4412494478058069,0.28947462160109233,0.7093207024762717,0.7222944695161034,1.507810458058957,0.5547460256572813,1.3882030636202543,1.5438688609250821,0.002743935775438634,0.8882637406177608
0.5608691415772773,2.173134924769285,0.30874132138676946,0.7214764774832875,0.6950156290077915,1.4302074724598786,0.6106757866237312,1.3670268007026363,1.1497446966181508,0.002453179931198247,1.6194370642611555
0.5502117793122306,1.4405053337323477,0.4006425676162665,0.6989759285968418,0.7168312467914074,1.4794341014139354,0.5592046958990395,1.4072050986411049,1.6400190033643507,0.0027180115470662714,0.9795616450662851
0.5068860677850898,2.2401779080502453,0.18052972783241422,0.7329641910083592,0.691179292048638,1.5051217383425683,0.5923791781514883,1.4540870643906916,1.3336914470256305,0.0023376476302742963,1.3623938619852451
0.4218337291793432,2.148169525219244,0.24882156871507566,0.7055563289994995,0.7072171082167575,1.429777079578489,0.5327028392758221,1.4628472261081138,1.1556323530021122,0.0023784384222390754,1.4079906036063816
0.4281473809026647,1.5842049137041903,0.2905735922340925,0.695041382127131,0.726994187105447,1.4443532980629241,0.6154902934394777,1.4288054341928411,1.09660341825122,0.0025209598011880496,1.2790355604583161
0.4377871655032504,1.6905262093637137,0.25301599910544853,0.6779651997202696,0.7136162063280741,1.4313301304471677,0.6009547961317003,1.4608848404011998,1.4980597271357663,0.002619681618913698,1.044120297922051
0.4935361579165328,2.3923964036416727,0.46729552444039535,0.6988981542061082,0.7026015452692905,1.4424588953354394,0.6079375143274666,1.3871984234132493,1.1776645606004632,0.002650754172704183,1.7516799769347462
0.5098244833748322,2.2295925114798587,0.1244708415415759,0.6813030508148172,0.708522353640447,1.5510728784813548,0.5612112486306579,1.4194902518341939,1.100583746030554,0.002516014570789412,1.530947464500892
0.47233488156576636,1.62988678750745,0.15209791381750257,0.6935268624740031,0.7217345322320858,1.5603595177829268,0.5654148607850075,1.3710162775407855,1.494634819175396,0.0027316577567020432,0.967653600133829
